,start,stop,avg,area
58,2019-11-28 09:45:38.100,2019-11-28 09:45:41.000,12.5003125,400.01000000000005
59,2019-11-28 09:45:49.000,2019-11-28 09:45:53.500,12.906999999999998,645.3499999999996
60,2019-11-28 09:46:19.200,2019-11-28 09:46:22.200,10.539393939393937,347.80000000000007
61,2019-11-28 09:46:29.900,2019-11-28 09:46:35.100,14.803448275862067,858.5999999999996
62,2019-11-28 09:46:42.500,2019-11-28 09:46:46.100,11.02131578947369,418.81000000000023
63,2019-11-28 09:46:53.800,2019-11-28 09:46:58.300,15.308600000000002,765.4300000000001
64,2019-11-28 09:47:24.600,2019-11-28 09:47:27.800,11.63277777777778,418.7800000000001
65,2019-11-28 09:47:35.500,2019-11-28 09:47:40.700,14.580689655172415,845.6800000000005
66,2019-11-28 09:47:47.900,2019-11-28 09:47:51.000,11.74918918918919,434.7200000000002
67,2019-11-28 09:47:59.000,2019-11-28 09:48:03.600,16.330192307692304,849.1699999999993
68,2019-11-28 09:48:29.400,2019-11-28 09:48:32.500,11.063714285714285,387.22999999999973
69,2019-11-28 09:48:40.200,2019-11-28 09:48:45.300,14.916491228070173,850.2400000000004
70,2019-11-28 09:48:53.000,2019-11-28 09:48:55.800,10.824666666666666,324.7400000000001
71,2019-11-28 09:49:03.200,2019-11-28 09:49:08.200,15.136727272727269,832.5199999999995
72,2019-11-28 09:49:34.000,2019-11-28 09:49:37.400,10.904749999999998,436.18999999999977
73,2019-11-28 09:49:45.000,2019-11-28 09:49:50.100,14.196666666666665,809.2100000000003
74,2019-11-28 09:49:57.500,2019-11-28 09:50:00.900,9.576578947368423,363.9100000000003
75,2019-11-28 09:50:08.800,2019-11-28 09:50:13.300,16.3108,815.5400000000002
76,2019-11-28 09:50:38.900,2019-11-28 09:50:42.400,11.765365853658537,482.37999999999994
77,2019-11-28 09:50:49.900,2019-11-28 09:50:55.000,14.668947368421053,836.1300000000001
78,2019-11-28 09:51:02.800,2019-11-28 09:51:06.100,12.177297297297295,450.55999999999995
79,2019-11-28 09:51:13.600,2019-11-28 09:51:18.300,14.506730769230767,754.3499999999998
80,2019-11-28 09:51:43.500,2019-11-28 09:51:46.900,15.873157894736838,603.1800000000001
81,2019-11-28 09:51:54.600,2019-11-28 09:51:59.800,15.222105263157895,867.6599999999995
82,2019-11-28 09:52:07.600,2019-11-28 09:52:10.400,13.073333333333332,431.4199999999998
83,2019-11-28 09:52:18.300,2019-11-28 09:52:22.900,14.158627450980394,722.09
84,2019-11-28 09:52:48.500,2019-11-28 09:52:51.700,12.044594594594592,445.64999999999975
85,2019-11-28 09:52:59.500,2019-11-28 09:53:04.300,13.798846153846153,717.5399999999996
86,2019-11-28 09:53:12.100,2019-11-28 09:53:15.100,11.869411764705884,403.56000000000006
87,2019-11-28 09:53:22.900,2019-11-28 09:53:27.800,15.139629629629631,817.5399999999998
88,2019-11-28 10:16:37.500,2019-11-28 10:16:40.700,11.200833333333332,403.2299999999999
89,2019-11-28 10:16:48.500,2019-11-28 10:16:53.900,14.542241379310344,843.4499999999997
90,2019-11-28 10:17:01.200,2019-11-28 10:17:04.300,11.539428571428568,403.8799999999998
91,2019-11-28 10:17:11.700,2019-11-28 10:17:16.800,17.63854545454545,970.1199999999999
92,2019-11-28 10:17:42.800,2019-11-28 10:17:45.900,11.745454545454546,387.60000000000014
93,2019-11-28 10:17:53.500,2019-11-28 10:17:58.800,16.130714285714287,903.3199999999999
94,2019-11-28 10:18:06.400,2019-11-28 10:18:09.500,11.272121212121213,371.98
95,2019-11-28 10:18:16.900,2019-11-28 10:18:22.000,16.46574074074074,889.1500000000003
96,2019-11-28 10:18:47.700,2019-11-28 10:18:51.000,9.94189189189189,367.84999999999997
97,2019-11-28 10:18:58.700,2019-11-28 10:19:03.800,13.756181818181819,756.59
98,2019-11-28 10:19:11.000,2019-11-28 10:19:14.100,12.162222222222221,437.83999999999975
99,2019-11-28 10:19:22.200,2019-11-28 10:19:27.000,11.774074074074072,635.7999999999992
100,2019-11-28 10:19:52.300,2019-11-28 10:19:56.000,9.918292682926829,406.6499999999998
